====================================================
|  #  |  SYMBOL  |     TYPE     |   VALUE   | LINE |
| 132 |          |       Number |         1 |   38 |
| 133 |        ) |      RBraket |         ) |   38 |
| 134 |        ; |    Semicolon |         ; |   38 |
| 135 |      END |          End |       END |   39 |
| 136 |     ELSE |         Else |      ELSE |   40 |
| 137 |    BEGIN |        Start |     BEGIN |   41 |
| 138 |    PRINT |        Write |     PRINT |   42 |
| 139 |        ( |      LBraket |         ( |   42 |
| 140 |          |       Number |         0 |   42 |
| 141 |        ) |      RBraket |         ) |   42 |
| 142 |        ; |    Semicolon |         ; |   42 |
| 143 |      END |          End |       END |   43 |
| 144 |    PRINT |        Write |     PRINT |   44 |
| 145 |        ( |      LBraket |         ( |   44 |
| 146 |          |       String |        \n |   44 |
| 147 |        ) |      RBraket |         ) |   44 |
| 148 |        ; |    Semicolon |         ; |   44 |
| 149 |       IF |           If |        IF |   45 |
| 150 |        ( |      LBraket |         ( |   45 |
| 151 |        ( |      LBraket |         ( |   45 |
| 152 |          |   Identifier |       aAA |   45 |
| 153 |        < |         Less |         < |   45 |
| 154 |          |       Number |         0 |   45 |
| 155 |        ) |      RBraket |         ) |   45 |
| 156 |       OR |           Or |        OR |   45 |
| 157 |        ( |      LBraket |         ( |   45 |
| 158 |          |   Identifier |       bBB |   45 |
| 159 |        < |         Less |         < |   45 |
| 160 |          |       Number |         0 |   45 |
| 161 |        ) |      RBraket |         ) |   45 |
| 162 |       OR |           Or |        OR |   45 |
| 163 |        ( |      LBraket |         ( |   45 |
| 164 |          |   Identifier |       cCC |   45 |
| 165 |        < |         Less |         < |   45 |
| 166 |          |       Number |         0 |   45 |
| 167 |        ) |      RBraket |         ) |   45 |
| 168 |        ) |      RBraket |         ) |   45 |
| 169 |    BEGIN |        Start |     BEGIN |   46 |
| 170 |    PRINT |        Write |     PRINT |   47 |
| 171 |        ( |      LBraket |         ( |   47 |
| 172 |          |       Number |        -1 |   47 |
| 173 |        ) |      RBraket |         ) |   47 |
| 174 |        ; |    Semicolon |         ; |   47 |
| 175 |      END |          End |       END |   48 |
| 176 |     ELSE |         Else |      ELSE |   49 |
| 177 |    BEGIN |        Start |     BEGIN |   50 |
| 178 |    PRINT |        Write |     PRINT |   51 |
| 179 |        ( |      LBraket |         ( |   51 |
| 180 |          |       Number |         0 |   51 |
| 181 |        ) |      RBraket |         ) |   51 |
| 182 |        ; |    Semicolon |         ; |   51 |
| 183 |      END |          End |       END |   52 |
| 184 |    PRINT |        Write |     PRINT |   53 |
| 185 |        ( |      LBraket |         ( |   53 |
| 186 |          |       String |        \n |   53 |
| 187 |        ) |      RBraket |         ) |   53 |
| 188 |        ; |    Semicolon |         ; |   53 |
| 189 |       IF |           If |        IF |   54 |
| 190 |        ( |      LBraket |         ( |   54 |
| 191 |      NOT |          Not |       NOT |   54 |
| 192 |        ( |      LBraket |         ( |   54 |
| 193 |          |   Identifier |       aAA |   54 |
| 194 |        < |         Less |         < |   54 |
| 195 |        ( |      LBraket |         ( |   54 |
| 196 |          |   Identifier |       bBB |   54 |
| 197 |      ADD |     Addition |       ADD |   54 |
