====================================================================
|  #  |  SYMBOL  |      TYPE      |          VALUE          | LINE |
| 126 |          |         Number |                       1 |   30 |
| 127 |        ; |      Semicolon |                       ; |   30 |
| 128 |          |     Identifier |                     cC2 |   31 |
| 129 |       <- |     Assignment |                      <- |   31 |
| 130 |          |     Identifier |                     cC2 |   31 |
| 131 |      ADD |       Addition |                     ADD |   31 |
| 132 |          |         Number |                       1 |   31 |
| 133 |        ; |      Semicolon |                       ; |   31 |
| 134 |      END |            End |                     END |   32 |
| 135 |          |     Identifier |                     cC1 |   33 |
| 136 |       <- |     Assignment |                      <- |   33 |
| 137 |          |     Identifier |                     cC1 |   33 |
| 138 |      ADD |       Addition |                     ADD |   33 |
| 139 |          |         Number |                       1 |   33 |
| 140 |        ; |      Semicolon |                       ; |   33 |
| 141 |      END |            End |                     END |   34 |
| 142 |    PRINT |          Write |                   PRINT |   35 |
| 143 |        ( |        LBraket |                       ( |   35 |
| 144 |          |     Identifier |                     xXX |   35 |
| 145 |        ) |        RBraket |                       ) |   35 |
| 146 |        ; |      Semicolon |                       ; |   35 |
| 147 |    PRINT |          Write |                   PRINT |   37 |
| 148 |        ( |        LBraket |                       ( |   37 |
| 149 |          |         String |  \nREPEAT UNTIL A * B:  |   37 |
| 150 |        ) |        RBraket |                       ) |   37 |
| 151 |        ; |      Semicolon |                       ; |   37 |
| 152 |          |     Identifier |                     xXX |   38 |
| 153 |       <- |     Assignment |                      <- |   38 |
| 154 |          |         Number |                       0 |   38 |
| 155 |        ; |      Semicolon |                       ; |   38 |
| 156 |          |     Identifier |                     cC1 |   39 |
| 157 |       <- |     Assignment |                      <- |   39 |
| 158 |          |         Number |                       1 |   39 |
| 159 |        ; |      Semicolon |                       ; |   39 |
| 160 |   REPEAT |         Repeat |                  REPEAT |   40 |
| 161 |          |     Identifier |                     cC2 |   41 |
| 162 |       <- |     Assignment |                      <- |   41 |
| 163 |          |         Number |                       1 |   41 |
| 164 |        ; |      Semicolon |                       ; |   41 |
| 165 |   REPEAT |         Repeat |                  REPEAT |   42 |
| 166 |          |     Identifier |                     xXX |   43 |
| 167 |       <- |     Assignment |                      <- |   43 |
| 168 |          |     Identifier |                     xXX |   43 |
| 169 |      ADD |       Addition |                     ADD |   43 |
| 170 |          |         Number |                       1 |   43 |
